Protein.Group,Protein.Names,Genes,First.Protein.Description,WT-EXP1,WT-EXP2,WT-EXP3,WT-REQ1,WT-REQ2,WT-REQ3,KO-EXP1,KO-EXP2,KO-EXP3,KO-REQ1,KO-REQ2,KO-REQ3,
P32883,RASK_MOUSE,Kras,GTPase KRas,1.37153E+07,1.10034E+07,9.94911E+06,8.82124E+06,8.93762E+06,9.47192E+06,1.27774E+07,1.16889E+07,1.31047E+07,1.22859E+07,1.15688E+07,1.21108E+07,
P24369,PPIB_MOUSE,Ppib,Peptidyl-prolyl cis-trans isomerase B,1.4801E+08,1.31541E+08,1.28629E+08,1.09676E+08,1.12598E+08,1.09141E+08,1.43947E+08,1.43259E+08,1.38026E+08,9.57928E+07,9.89556E+07,9.81315E+07,
Q8CI33,C19L1_MOUSE,Cwf19l1,CWF19-like protein 1,1.28393E+07,1.13341E+07,9.41268E+06,1.26461E+07,1.15238E+07,1.10811E+07,1.39908E+07,1.58645E+07,1.46562E+07,1.69846E+07,1.87381E+07,1.87622E+07,
Q8CGF7,TCRG1_MOUSE,Tcerg1,Transcription elongation regulator 1,3.17126E+07,2.75154E+07,3.12668E+07,3.39686E+07,3.2585E+07,3.21206E+07,3.12777E+07,3.27262E+07,2.71688E+07,3.98058E+07,3.85092E+07,3.83779E+07,
Q9CR62,M2OM_MOUSE,Slc25a11,Mitochondrial 2-oxoglutarate/malate carrier protein,4.90645E+07,5.58176E+07,5.90013E+07,5.99556E+07,5.78731E+07,6.54129E+07,6.22298E+07,5.56924E+07,7.02405E+07,8.3996E+07,8.08994E+07,8.65209E+07,
Q9QY81,PO210_MOUSE,Nup210,Nuclear pore membrane glycoprotein 210,1.89873E+07,2.0055E+07,2.39261E+07,1.83125E+07,1.87057E+07,1.91732E+07,2.20136E+07,2.11738E+07,2.08522E+07,2.27681E+07,2.17478E+07,2.29552E+07,
Q9Z248,AEBP2_MOUSE,Aebp2,Zinc finger protein AEBP2,1.73447E+07,1.57469E+07,1.74633E+07,4.64532E+06,,4.49292E+06,1.52464E+07,1.72385E+07,1.41804E+07,6.80742E+06,,6.98329E+06,
Q91ZN5,S35B2_MOUSE,Slc35b2,Adenosine 3'-phospho 5'-phosphosulfate transporter 1,4.38735E+06,3.67204E+06,3.84579E+06,3.00875E+06,2.73023E+06,2.77082E+06,3.94646E+06,4.31199E+06,3.76768E+06,3.77487E+06,3.48834E+06,3.54176E+06,
G5E8P1,BRD1_MOUSE,Brd1,Bromodomain-containing protein 1,2.29142E+07,2.46059E+07,2.63477E+07,1.7428E+07,1.81322E+07,1.68053E+07,2.01249E+07,2.88765E+07,2.40391E+07,2.06211E+07,2.22693E+07,2.12707E+07,
Q8BHS3,RBM22_MOUSE,Rbm22,Pre-mRNA-splicing factor RBM22,1.30701E+07,1.32403E+07,1.22774E+07,1.76272E+07,1.69343E+07,1.76893E+07,1.24481E+07,1.47461E+07,1.4741E+07,1.5049E+07,1.57455E+07,1.48771E+07,
Q9JKK8,ATR_MOUSE,Atr,Serine/threonine-protein kinase ATR,1.14833E+08,9.61117E+07,9.84736E+07,7.5416E+07,7.40253E+07,7.35408E+07,1.03423E+08,9.54107E+07,8.91111E+07,8.16546E+07,8.03626E+07,8.34245E+07,
Q99LY9,NDUS5_MOUSE,Ndufs5,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5,620364,624105,487199,519373,551366,620732,519908,408940,527037,813119,883093,960158,
Q0KL01,UBX2B_MOUSE,Ubxn2b,UBX domain-containing protein 2B,7.4338E+06,7.22748E+06,5.90209E+06,4.52447E+06,,4.6853E+06,5.54441E+06,8.06678E+06,9.21827E+06,7.32759E+06,7.24761E+06,6.5933E+06,
Q8R179,KBTB4_MOUSE,Kbtbd4,Kelch repeat and BTB domain-containing protein 4,3.90706E+07,3.75791E+07,4.05612E+07,3.53753E+07,,3.62136E+07,3.99241E+07,3.84381E+07,3.15973E+07,4.92948E+07,4.78731E+07,5.23107E+07,
Q91VJ4,STK38_MOUSE,Stk38,Serine/threonine-protein kinase 38,2.49092E+07,2.15535E+07,2.39046E+07,2.50158E+07,2.63901E+07,2.41079E+07,2.30863E+07,2.59752E+07,2.21885E+07,3.00787E+07,2.93628E+07,3.09702E+07,
Q64131,RUNX3_MOUSE,Runx3,Runt-related transcription factor 3,2.76439E+07,3.15296E+07,3.01198E+07,2.62025E+07,,2.68092E+07,2.89886E+07,3.08809E+07,2.10423E+07,3.11707E+07,3.07784E+07,3.15676E+07,
Q9CR88,RT14_MOUSE,Mrps14,"28S ribosomal protein S14, mitochondrial",536186,964384,888778,817032,,824550,1.12879E+06,745297,962890,1.05442E+06,1.12334E+06,1.06234E+06,
Q64430,ATP7A_MOUSE,Atp7a,Copper-transporting ATPase 1,1.14341E+07,1.30566E+07,1.36795E+07,1.11886E+07,1.12829E+07,1.12326E+07,1.22016E+07,1.08355E+07,1.14006E+07,1.30284E+07,1.35042E+07,1.36149E+07,
Q80TJ7,PHF8_MOUSE,Phf8,Histone lysine demethylase PHF8,8.55764E+06,9.56016E+06,8.14219E+06,8.20776E+06,5.9492E+06,7.72409E+06,1.13971E+07,7.16521E+06,9.35682E+06,1.28409E+07,1.30403E+07,1.18722E+07,
Q80TE0,RPAP1_MOUSE,Rpap1,RNA polymerase II-associated protein 1,1.25159E+07,1.09468E+07,1.24417E+07,5.85856E+06,,5.51833E+06,1.25399E+07,9.91176E+06,9.59369E+06,7.61601E+06,7.37317E+06,7.9305E+06,
Q8R5F8,ES8L1_MOUSE,Eps8l1,Epidermal growth factor receptor kinase substrate 8-like protein 1,3.83994E+06,3.15621E+06,2.87289E+06,6.89286E+06,,6.50873E+06,1.71569E+06,1.93396E+06,2.21077E+06,2.25372E+06,,2.47144E+06,
Q8R0A0,T2FB_MOUSE,Gtf2f2,General transcription factor IIF subunit 2,1.67157E+07,1.62742E+07,1.29429E+07,1.96364E+07,2.07927E+07,2.08172E+07,1.70574E+07,1.37752E+07,1.60588E+07,1.67977E+07,1.51076E+07,1.7008E+07,
Q9EQU5,SET_MOUSE,Set,Protein SET,1.12881E+08,1.11794E+08,1.04859E+08,1.54191E+08,1.53324E+08,1.38399E+08,9.83695E+07,9.42717E+07,9.67905E+07,1.0777E+08,1.1169E+08,1.17358E+08,
P97310,MCM2_MOUSE,Mcm2,DNA replication licensing factor MCM2,1.03221E+08,9.64861E+07,9.99986E+07,7.83318E+07,8.35585E+07,8.65306E+07,1.08111E+08,9.44187E+07,9.34497E+07,1.02906E+08,1.04184E+08,9.54608E+07,
Q03265,ATPA_MOUSE,Atp5f1a,"ATP synthase subunit alpha, mitochondrial",1.59398E+08,1.40807E+08,1.74625E+08,1.6089E+08,1.71363E+08,1.87183E+08,1.51842E+08,1.91617E+08,1.57961E+08,2.3555E+08,2.11653E+08,2.25346E+08,
Q9Z2G6,SE1L1_MOUSE,Sel1l,Protein sel-1 homolog 1,6.31549E+06,5.97964E+06,6.02111E+06,5.26037E+06,4.99758E+06,4.43472E+06,7.12355E+06,7.0905E+06,5.45477E+06,6.76822E+06,6.49103E+06,6.1366E+06,
P61022,CHP1_MOUSE,Chp1,Calcineurin B homologous protein 1,6.72917E+06,8.10875E+06,7.51885E+06,7.27318E+06,,7.56947E+06,7.61778E+06,6.80873E+06,6.68908E+06,8.85522E+06,9.27866E+06,8.94615E+06,
Q61584,FXR1_MOUSE,Fxr1,RNA-binding protein FXR1,2.58351E+07,2.88497E+07,2.92675E+07,2.38005E+07,2.39453E+07,2.28087E+07,2.72195E+07,2.667E+07,3.13916E+07,2.63046E+07,2.58274E+07,2.5273E+07,
Q6ZQ88,KDM1A_MOUSE,Kdm1a,Lysine-specific histone demethylase 1A,1.0484E+07,9.23862E+06,1.02572E+07,9.36334E+06,9.47883E+06,1.04154E+07,1.13622E+07,1.08217E+07,1.03364E+07,1.18725E+07,1.24179E+07,1.2E+07,
Q9D8B3,CHM4B_MOUSE,Chmp4b,Charged multivesicular body protein 4b,1.83265E+07,1.73078E+07,1.71182E+07,1.68087E+07,1.52782E+07,2.04109E+07,2.32304E+07,1.74646E+07,2.07461E+07,3.00384E+07,2.52387E+07,2.6667E+07,
Q6ZQ38,CAND1_MOUSE,Cand1,Cullin-associated NEDD8-dissociated protein 1,5.48163E+07,5.09538E+07,5.359E+07,5.29267E+07,5.402E+07,5.16248E+07,5.47114E+07,4.87782E+07,4.8791E+07,6.20511E+07,5.81045E+07,6.07313E+07,
Q56A08,GPKOW_MOUSE,Gpkow,G-patch domain and KOW motifs-containing protein,7.23208E+06,7.22338E+06,6.6285E+06,5.86565E+06,6.48679E+06,6.79752E+06,8.4029E+06,7.49017E+06,7.81273E+06,8.47917E+06,8.0854E+06,7.988E+06,
Q8C4B4,U119B_MOUSE,Unc119b,Protein unc-119 homolog B,1.99049E+07,1.71422E+07,1.79041E+07,1.72142E+07,1.62625E+07,1.78268E+07,1.81946E+07,1.59749E+07,1.41693E+07,2.0944E+07,2.11007E+07,2.13086E+07,
Q91WC0,SETD3_MOUSE,Setd3,Actin-histidine N-methyltransferase,2.87654E+07,2.99722E+07,2.81455E+07,2.30858E+07,2.19565E+07,2.30346E+07,2.26511E+07,2.42044E+07,2.20506E+07,2.10167E+07,1.99961E+07,2.02157E+07,
Q8C166,CPNE1_MOUSE,Cpne1,Copine-1,3.36626E+07,3.07314E+07,2.44122E+07,3.22774E+07,3.14612E+07,2.91266E+07,2.99932E+07,3.09377E+07,2.65093E+07,3.77042E+07,3.70111E+07,4.1071E+07,
P35290,RAB24_MOUSE,Rab24,Ras-related protein Rab-24,1.5374E+07,1.65396E+07,1.60115E+07,1.41179E+07,1.69045E+07,1.23299E+07,2.19673E+07,1.8707E+07,1.9295E+07,2.42824E+07,2.22101E+07,2.07755E+07,
Q9CV28,MINY3_MOUSE,Mindy3,Ubiquitin carboxyl-terminal hydrolase MINDY-3,5.00461E+06,4.0622E+06,3.93193E+06,3.64457E+06,,3.73194E+06,4.22025E+06,3.54467E+06,3.4001E+06,5.4671E+06,5.14953E+06,4.85826E+06,
Q9D1Q4,DPM3_MOUSE,Dpm3,Dolichol-phosphate mannosyltransferase subunit 3,9.38874E+06,9.11478E+06,1.32409E+07,7.95764E+06,,8.64628E+06,1.1738E+07,1.23033E+07,9.62885E+06,1.15818E+07,1.06904E+07,1.21697E+07,
Q9D1H8,RM53_MOUSE,Mrpl53,"39S ribosomal protein L53, mitochondrial",1.25594E+07,1.19562E+07,1.07762E+07,9.25924E+06,1.00086E+07,1.24337E+07,1.25694E+07,1.09504E+07,1.10574E+07,1.67482E+07,1.70426E+07,1.49731E+07,
P13705,MSH3_MOUSE,Msh3,DNA mismatch repair protein Msh3,2.74564E+07,3.41831E+07,2.97495E+07,1.91945E+07,2.20361E+07,2.31456E+07,3.21274E+07,2.9613E+07,3.06955E+07,2.78351E+07,2.99885E+07,2.82798E+07,
Q9EQP2,EHD4_MOUSE,Ehd4,EH domain-containing protein 4,1.50875E+08,1.39155E+08,1.26411E+08,1.40737E+08,1.45428E+08,1.38622E+08,1.42365E+08,1.27926E+08,1.75158E+08,1.52726E+08,1.51511E+08,1.56074E+08,
Q3UHX0,NOL8_MOUSE,Nol8,Nucleolar protein 8,1.14797E+07,1.12021E+07,1.19813E+07,1.06149E+07,1.1196E+07,1.07215E+07,1.40342E+07,1.46301E+07,1.13882E+07,9.68648E+06,9.55308E+06,9.85227E+06,
Q9Z1K5,ARI1_MOUSE,Arih1,E3 ubiquitin-protein ligase ARIH1,1.61926E+07,1.55704E+07,1.4058E+07,1.60956E+07,1.49947E+07,1.59672E+07,1.45394E+07,1.50898E+07,1.37186E+07,1.86727E+07,1.79178E+07,1.73543E+07,
O08648,M3K4_MOUSE,Map3k4,Mitogen-activated protein kinase kinase kinase 4,1.94722E+07,2.12991E+07,1.85453E+07,1.67154E+07,1.47883E+07,1.52873E+07,2.13479E+07,2.06214E+07,1.67008E+07,2.05003E+07,1.87448E+07,1.86268E+07,
Q9DBG7,SRPRA_MOUSE,Srpra,Signal recognition particle receptor subunit alpha,1.63109E+07,1.63743E+07,1.59994E+07,9.84813E+06,1.1104E+07,1.02677E+07,1.77592E+07,1.60014E+07,1.75242E+07,1.37883E+07,1.23077E+07,1.38283E+07,
Q8BR90,RIMC1_MOUSE,Rimoc1,RAB7A-interacting MON1-CCZ1 complex subunit 1,1.06596E+07,1.31102E+07,1.24678E+07,1.56272E+07,1.4575E+07,1.37499E+07,1.21033E+07,1.1693E+07,1.27562E+07,1.19715E+07,1.18341E+07,1.07095E+07,
P15535,B4GT1_MOUSE,B4galt1,"Beta-1,4-galactosyltransferase 1",433016,377198,420764,286070,270663,236459,330882,409193,365942,343854,343915,369247,
Q99LB0,TDIF1_MOUSE,Dnttip1,Deoxynucleotidyltransferase terminal-interacting protein 1,4.53434E+06,6.16988E+06,6.65504E+06,4.60542E+06,5.16127E+06,5.55026E+06,6.09743E+06,5.27478E+06,6.03226E+06,6.89372E+06,6.30601E+06,6.83846E+06,
Q99MY8,ASH1L_MOUSE,Ash1l,Histone-lysine N-methyltransferase ASH1L,2.94419E+06,2.77412E+06,3.86136E+06,2.06285E+06,,1.88505E+06,3.47548E+06,3.19859E+06,2.45641E+06,3.35577E+06,2.79282E+06,2.98004E+06,
Q6ZPY5,ZN507_MOUSE,Znf507,Zinc finger protein 507,1.22111E+07,1.02955E+07,1.22582E+07,1.31317E+07,1.52706E+07,1.35829E+07,1.01293E+07,1.48301E+07,1.40936E+07,1.06397E+07,9.42954E+06,1.03356E+07,
Q8CID0,CSR2B_MOUSE,Kat14,Cysteine-rich protein 2-binding protein,3.27439E+07,3.59449E+07,3.74778E+07,3.36163E+07,3.71923E+07,3.73511E+07,4.15019E+07,3.62101E+07,4.45889E+07,3.0121E+07,3.03947E+07,2.72886E+07,
Q6DIC0,SMCA2_MOUSE,Smarca2,Probable global transcription activator SNF2L2,2.77319E+07,2.46462E+07,2.80667E+07,2.9073E+07,3.16894E+07,2.96132E+07,2.93104E+07,2.79556E+07,2.40023E+07,3.89156E+07,3.52587E+07,3.55837E+07,
Q6P4T2,U520_MOUSE,Snrnp200,U5 small nuclear ribonucleoprotein 200 kDa helicase,1.20748E+08,1.27436E+08,1.17416E+08,1.34933E+08,1.30735E+08,1.34226E+08,1.28769E+08,1.1104E+08,1.31936E+08,1.42915E+08,1.50285E+08,1.5065E+08,
Q9JKC7,AP4M1_MOUSE,Ap4m1,AP-4 complex subunit mu-1,9.50387E+06,1.26293E+07,1.0447E+07,6.06699E+06,,5.58072E+06,1.10562E+07,1.19678E+07,1.1127E+07,7.50806E+06,7.83908E+06,8.2656E+06,
O54774,AP3D1_MOUSE,Ap3d1,AP-3 complex subunit delta-1,4.59886E+07,5.53278E+07,4.68235E+07,3.66708E+07,4.27517E+07,3.83699E+07,5.73846E+07,4.5512E+07,5.01594E+07,4.90532E+07,5.15922E+07,4.86731E+07,
Q91YN1,F118A_MOUSE,Fam118a,Protein FAM118A,188401,472118,479617,256950,,214874,289718,432588,308165,510482,,564583,
P81183,IKZF2_MOUSE,Ikzf2,Zinc finger protein Helios,5.28575E+06,6.14929E+06,3.51016E+06,1.17226E+07,,1.10938E+07,4.60033E+06,3.61493E+06,9.44172E+06,5.97188E+06,8.21744E+06,7.661E+06,
Q9CS00,CATIN_MOUSE,Cactin,Splicing factor Cactin,1.63645E+07,1.21349E+07,1.47193E+07,1.49041E+07,1.16483E+07,1.43243E+07,1.8541E+07,1.57411E+07,1.48527E+07,1.93532E+07,2.05471E+07,2.02175E+07,
Q60823,AKT2_MOUSE,Akt2,RAC-beta serine/threonine-protein kinase,1.05752E+07,9.33627E+06,9.67855E+06,8.48186E+06,9.01592E+06,9.70818E+06,1.17488E+07,1.01624E+07,1.0812E+07,1.1104E+07,1.14466E+07,1.27727E+07,
Q9ES34,UBE3B_MOUSE,Ube3b,Ubiquitin-protein ligase E3B,6.84522E+06,1.1561E+07,7.16973E+06,7.04159E+06,,7.08524E+06,1.12655E+07,5.90099E+06,6.94129E+06,1.16877E+07,1.22862E+07,1.03889E+07,
Q8BUH1,TXN4B_MOUSE,Txnl4b,Thioredoxin-like protein 4B,3.4322E+06,2.70963E+06,2.6663E+06,3.25861E+06,3.09909E+06,3.38343E+06,2.23598E+06,2.6073E+06,2.5617E+06,4.18297E+06,3.94855E+06,4.54218E+06,
Q3TC46,PATL1_MOUSE,Patl1,Protein PAT1 homolog 1,9.11869E+06,9.87323E+06,1.04422E+07,4.62764E+06,,4.19245E+06,9.67404E+06,1.09519E+07,8.09121E+06,7.98848E+06,6.35787E+06,7.31193E+06,
Q8BMD5,CDAC1_MOUSE,Cdadc1,Cytidine and dCMP deaminase domain-containing protein 1,1.76434E+07,2.89101E+07,1.89472E+07,2.99184E+07,,2.68941E+07,2.39486E+07,2.33693E+07,1.82598E+07,1.88148E+07,1.59993E+07,1.12506E+07,
Q78T54,VMA21_MOUSE,Vma21,Vacuolar ATPase assembly integral membrane protein Vma21,1.00515E+08,7.29748E+07,9.56317E+07,5.75932E+07,,4.78942E+07,1.00175E+08,1.10077E+08,9.19631E+07,1.12646E+08,8.97165E+07,8.94307E+07,
Q99M96,ST7_MOUSE,St7,Suppressor of tumorigenicity 7 protein,9.42697E+06,1.02234E+07,9.79636E+06,6.68542E+06,8.40969E+06,7.44365E+06,1.0873E+07,9.93976E+06,7.34335E+06,1.08565E+07,,1.01314E+07,
E9PZM4,CHD2_MOUSE,Chd2,Chromodomain-helicase-DNA-binding protein 2,1.46744E+07,1.29319E+07,1.49532E+07,1.48884E+07,1.23144E+07,1.34182E+07,1.36257E+07,1.35317E+07,1.36022E+07,1.94524E+07,1.68411E+07,1.73125E+07,
Q8BI72,CARF_MOUSE,Cdkn2aip,CDKN2A-interacting protein,1.10131E+07,1.01134E+07,1.11269E+07,1.14524E+07,1.00362E+07,1.16616E+07,1.18657E+07,1.35824E+07,1.21456E+07,1.46511E+07,1.41999E+07,1.43575E+07,
O88573,AFF1_MOUSE,Aff1,AF4/FMR2 family member 1,684119,779603,727482,650082,46836.7,890662,920853,453900,,2.164E+06,,1.81263E+06,
Q9QZC2,PLXC1_MOUSE,Plxnc1,Plexin-C1,3.24972E+07,3.19176E+07,3.28499E+07,3.18449E+07,3.62478E+07,3.60502E+07,3.07217E+07,3.69042E+07,3.20808E+07,4.22315E+07,4.37941E+07,4.00133E+07,
Q9CZT6,CMS1_MOUSE,Cmss1,Protein CMSS1,1.23287E+07,7.50319E+06,8.46999E+06,8.70578E+06,9.16942E+06,7.83807E+06,8.38802E+06,8.65016E+06,1.26504E+07,1.32565E+07,1.14689E+07,1.42476E+07,
Q6V595,KLHL6_MOUSE,Klhl6,Kelch-like protein 6,1.26354E+07,1.29618E+07,1.37314E+07,1.22152E+07,1.06091E+07,1.09467E+07,1.09998E+07,1.1733E+07,1.03523E+07,1.40394E+07,1.42415E+07,1.29429E+07,
Q9CXD6,MCUR1_MOUSE,Mcur1,Mitochondrial calcium uniporter regulator 1,2.26767E+06,2.34163E+06,3.25549E+06,1.80903E+06,,1.72489E+06,2.22284E+06,3.13147E+06,1.84285E+06,2.58892E+06,2.65772E+06,3.09946E+06,
Q8R429,AT2A1_MOUSE,Atp2a1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,1.22434E+06,810255,1.185E+06,1.16172E+06,,1.13747E+06,1.30324E+06,1.02108E+06,1.38349E+06,2.0477E+06,1.70093E+06,1.80646E+06,
Q9EP82,WDR4_MOUSE,Wdr4,tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4,3.43294E+07,2.72592E+07,2.4503E+07,2.52761E+07,2.43234E+07,2.4251E+07,2.89334E+07,2.28818E+07,2.5209E+07,2.77997E+07,2.77499E+07,2.9977E+07,
Q6NZJ6,IF4G1_MOUSE,Eif4g1,Eukaryotic translation initiation factor 4 gamma 1,2.95643E+07,3.4557E+07,3.27241E+07,1.45927E+07,1.68126E+07,1.73292E+07,3.89048E+07,3.31464E+07,3.56727E+07,2.06607E+07,1.90552E+07,2.15048E+07,
Q5U4D9,THOC6_MOUSE,Thoc6,THO complex subunit 6 homolog,1.947E+07,1.69709E+07,1.51076E+07,2.40831E+07,2.39986E+07,2.3061E+07,1.65504E+07,1.58631E+07,2.08933E+07,2.12956E+07,2.24337E+07,2.21387E+07,
B1ARW8,CA122_MOUSE,,Uncharacterized protein C1orf122 homolog,959608,1.18033E+06,1.12415E+06,1.26645E+06,,1.18762E+06,1.02012E+06,892299,993269,900097,591686,732188,
Q9JJX7,TYDP2_MOUSE,Tdp2,Tyrosyl-DNA phosphodiesterase 2,2.16574E+07,2.10427E+07,2.62062E+07,1.29059E+07,1.37345E+07,1.33169E+07,2.19643E+07,2.73367E+07,2.53684E+07,1.46107E+07,1.46442E+07,1.56656E+07,
Q8VC65,NRM_MOUSE,Nrm,Nurim,1.62649E+06,2.39318E+06,4.36695E+06,1.43752E+06,1.06738E+06,1.96376E+06,3.38387E+06,4.86537E+06,4.46447E+06,3.58477E+06,2.87325E+06,2.52883E+06,
Q9D9I4,TBC20_MOUSE,Tbc1d20,TBC1 domain family member 20,5.35764E+07,4.89281E+07,5.32027E+07,3.4375E+07,,3.16709E+07,7.30493E+07,6.13649E+07,7.59247E+07,6.31148E+07,5.7286E+07,4.88083E+07,
Q8K273,EMC5_MOUSE,Mmgt1,ER membrane protein complex subunit 5,2.25217E+07,1.46232E+07,1.98528E+07,4.33781E+06,2.03564E+06,8.15827E+06,1.63377E+07,1.32783E+07,2.03716E+07,2.09829E+07,2.56231E+07,1.44852E+07,
Q9CWX9,DDX47_MOUSE,Ddx47,Probable ATP-dependent RNA helicase DDX47,1.12152E+08,1.19565E+08,1.25435E+08,8.92143E+07,9.18476E+07,1.00802E+08,1.22965E+08,1.06988E+08,1.14728E+08,1.07213E+08,1.16143E+08,1.08263E+08,
Q9QZS3,NUMB_MOUSE,Numb,Protein numb homolog,5.6391E+06,6.71178E+06,7.57023E+06,6.19153E+06,6.21683E+06,5.79649E+06,6.91432E+06,6.80452E+06,6.16007E+06,8.1141E+06,8.52008E+06,7.29271E+06,
P97379,G3BP2_MOUSE,G3bp2,Ras GTPase-activating protein-binding protein 2,5.28034E+07,7.32987E+07,6.26735E+07,5.32165E+07,4.73153E+07,5.11641E+07,7.66433E+07,7.33492E+07,5.76206E+07,4.39803E+07,3.90717E+07,4.34957E+07,
Q8R3G1,PP1R8_MOUSE,Ppp1r8,Nuclear inhibitor of protein phosphatase 1,1.28528E+07,1.29793E+07,9.84324E+06,1.43577E+07,,1.41241E+07,1.2051E+07,1.12935E+07,1.24611E+07,1.62292E+07,1.52691E+07,1.5626E+07,
Q60866,PTER_MOUSE,Pter,Phosphotriesterase-related protein,9.3693E+06,8.14225E+06,8.71263E+06,8.72931E+06,6.96905E+06,8.30555E+06,8.99896E+06,8.89577E+06,8.57107E+06,1.13878E+07,1.08441E+07,9.65415E+06,
Q9CXW3,CYBP_MOUSE,Cacybp,Calcyclin-binding protein,5.29209E+07,5.25966E+07,4.39287E+07,4.3268E+07,4.26275E+07,4.34156E+07,5.11604E+07,4.35508E+07,4.76339E+07,5.66897E+07,5.72976E+07,5.11912E+07,
Q62311,TAF6_MOUSE,Taf6,Transcription initiation factor TFIID subunit 6,1.22339E+07,1.09794E+07,1.25103E+07,1.02396E+07,9.56381E+06,1.05942E+07,1.16187E+07,1.26822E+07,1.07865E+07,1.29597E+07,1.17745E+07,1.15881E+07,
Q9QZX7,SRR_MOUSE,Srr,Serine racemase,1.22716E+07,1.21959E+07,1.43326E+07,1.71201E+07,1.76302E+07,1.8542E+07,1.45808E+07,1.40035E+07,1.37343E+07,2.00871E+07,1.90021E+07,2.0118E+07,
Q7TMY8,HUWE1_MOUSE,Huwe1,E3 ubiquitin-protein ligase HUWE1,6.37965E+07,6.91153E+07,6.32182E+07,5.15982E+07,5.05499E+07,4.82008E+07,6.72977E+07,6.75551E+07,6.53124E+07,6.43812E+07,5.89578E+07,5.7397E+07,
P62311,LSM3_MOUSE,Lsm3,U6 snRNA-associated Sm-like protein LSm3,3.05223E+07,2.55879E+07,2.75227E+07,2.45578E+07,,2.64035E+07,3.04788E+07,2.74394E+07,2.29431E+07,3.24356E+07,2.94017E+07,3.26765E+07,
Q9EQC5,SCYL1_MOUSE,Scyl1,N-terminal kinase-like protein,8.3664E+06,1.09991E+07,1.10037E+07,7.53432E+06,8.18894E+06,7.53341E+06,1.27407E+07,1.14786E+07,1.00745E+07,9.00786E+06,8.43924E+06,9.28175E+06,
Q9Z2H7,GIPC2_MOUSE,Gipc2,PDZ domain-containing protein GIPC2,5.43835E+06,,3.2898E+06,4.74033E+06,5.41374E+06,4.52646E+06,3.79381E+06,2.55596E+06,,3.38066E+06,3.54201E+06,,
Q8VDG7,PAFA2_MOUSE,Pafah2,"Platelet-activating factor acetylhydrolase 2, cytoplasmic",3.06014E+07,2.94051E+07,3.02877E+07,2.32515E+07,2.03812E+07,2.5125E+07,2.56526E+07,2.59973E+07,2.3613E+07,3.3141E+07,2.99487E+07,2.76642E+07,
Q9D071,MMS19_MOUSE,Mms19,MMS19 nucleotide excision repair protein homolog,1.75696E+07,1.65838E+07,1.49693E+07,1.2953E+07,9.86814E+06,1.02377E+07,1.49501E+07,1.5372E+07,1.65185E+07,1.58172E+07,1.3882E+07,1.6584E+07,
Q9CY57,CHTOP_MOUSE,Chtop,Chromatin target of PRMT1 protein,702008,1.08952E+06,746050,655741,,593218,1.35933E+06,1.33751E+06,848419,1.18708E+06,1.30866E+06,1.64516E+06,
Q8VE22,RT23_MOUSE,Mrps23,"28S ribosomal protein S23, mitochondrial",3.40226E+07,3.63112E+07,3.73977E+07,3.8404E+07,3.4681E+07,3.54784E+07,3.25086E+07,4.06959E+07,3.50896E+07,4.51325E+07,4.27033E+07,4.0131E+07,
Q9CVD2,ATX3_MOUSE,Atxn3,Ataxin-3,1.36787E+07,1.34738E+07,1.18274E+07,1.3023E+07,1.44421E+07,1.60879E+07,1.6234E+07,1.63748E+07,1.56972E+07,1.9288E+07,1.86945E+07,1.73438E+07,
Q9D8M4,RL7L_MOUSE,Rpl7l1,60S ribosomal protein L7-like 1,1.41467E+07,1.45198E+07,1.5969E+07,6.32998E+06,7.27416E+06,7.94692E+06,1.71028E+07,1.33748E+07,1.44043E+07,1.30293E+07,1.16902E+07,9.79438E+06,
P51863,VA0D1_MOUSE,Atp6v0d1,V-type proton ATPase subunit d 1,2.35743E+07,2.13372E+07,2.12792E+07,2.28063E+07,2.58117E+07,2.39069E+07,1.83729E+07,2.28539E+07,1.83202E+07,3.09339E+07,2.73719E+07,2.84706E+07,
Q2HXL6,EDEM3_MOUSE,Edem3,ER degradation-enhancing alpha-mannosidase-like protein 3,1.87388E+07,2.32082E+07,2.41206E+07,1.32152E+07,,1.09654E+07,2.29978E+07,2.64521E+07,2.97907E+07,2.06162E+07,2.14155E+07,1.66789E+07,
Q6AXC6,DDX11_MOUSE,Ddx11,ATP-dependent DNA helicase DDX11,7.00657E+06,6.27833E+06,6.12285E+06,4.49066E+06,5.16906E+06,5.15318E+06,5.97037E+06,7.61578E+06,5.39441E+06,6.20576E+06,6.00755E+06,6.14671E+06,
Q9D7Y9,SLX4I_MOUSE,Slx4ip,Protein SLX4IP,6.5074E+06,7.57771E+06,9.05498E+06,5.33088E+06,,5.54908E+06,1.00067E+07,1.07512E+07,7.10285E+06,6.33419E+06,6.96686E+06,7.31952E+06,
B1AXP6,TOM5_MOUSE,Tomm5,Mitochondrial import receptor subunit TOM5 homolog,1.04761E+07,1.2283E+07,1.22763E+07,9.90352E+06,,1.03888E+07,1.55626E+07,1.05431E+07,1.44897E+07,1.40737E+07,1.38327E+07,1.39719E+07,
