Protein.Group,Protein.Names,Genes,First.Protein.Description,WT-EXP1,WT-EXP2,WT-EXP3,WT-REQ1,WT-REQ2,WT-REQ3,KO-EXP1,KO-EXP2,KO-EXP3,KO-REQ1,KO-REQ2,KO-REQ3,
Q8C8M1,SHCAF_MOUSE,Sinhcaf,SIN3-HDAC complex-associated factor,1.54802E+07,1.31897E+07,1.289E+07,9.51389E+06,,4.43434E+06,1.24179E+07,1.53334E+07,1.27403E+07,7.23665E+06,,6.47854E+06,
P42228,STAT4_MOUSE,Stat4,Signal transducer and activator of transcription 4,1.7408E+07,1.51991E+07,1.76767E+07,9.36266E+06,1.18945E+07,1.48611E+07,2.42667E+07,1.88944E+07,2.08109E+07,1.26226E+07,1.00742E+07,1.36411E+07,
Q8K045,PKN3_MOUSE,Pkn3,Serine/threonine-protein kinase N3,3.32362E+06,2.59128E+06,2.92713E+06,1.92359E+06,751915,2.33766E+06,2.76044E+06,2.56086E+06,2.1076E+06,1.45382E+06,2.0267E+06,1.47258E+06,
Q8K4L3,SVIL_MOUSE,Svil,Supervillin,4.54398E+08,4.78245E+08,4.51427E+08,5.18794E+08,4.89474E+08,4.32574E+08,5.07155E+08,5.00608E+08,4.66736E+08,4.9578E+08,5.25844E+08,4.23724E+08,
Q8BK67,RCC2_MOUSE,Rcc2,Protein RCC2,6.31118E+07,5.45806E+07,5.0345E+07,8.6123E+07,7.39959E+07,8.53906E+07,6.23314E+07,6.06138E+07,6.00618E+07,7.39241E+07,8.16975E+07,9.05964E+07,
Q99J79,DDB2_MOUSE,Ddb2,DNA damage-binding protein 2,6.23186E+06,6.61341E+06,6.19934E+06,6.55796E+06,7.74923E+06,5.15381E+06,5.67871E+06,6.31444E+06,4.09593E+06,7.93336E+06,6.8394E+06,4.5456E+06,
Q8BFQ9,KLH42_MOUSE,Klhl42,Kelch-like protein 42,1.54895E+07,1.28772E+07,1.06814E+07,1.09149E+07,,1.3051E+07,9.69642E+06,1.07957E+07,1.31723E+07,1.22621E+07,1.15711E+07,1.22585E+07,
Q91YT0,NDUV1_MOUSE,Ndufv1,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",1.7299E+07,1.8644E+07,2.0831E+07,2.35777E+07,2.39915E+07,2.63816E+07,2.48783E+07,2.13193E+07,2.17034E+07,2.38383E+07,2.46694E+07,2.55582E+07,
Q9QYI5,DNJB2_MOUSE,Dnajb2,DnaJ homolog subfamily B member 2,1.04529E+06,631345,883818,721363,985232,,676876,735235,624720,1.0197E+06,,669340,
Q9DBG9,TX1B3_MOUSE,Tax1bp3,Tax1-binding protein 3,2.4191E+06,2.48874E+06,2.25916E+06,2.40024E+06,,3.07706E+06,2.2159E+06,2.82633E+06,2.49962E+06,1.37325E+06,3.98909E+06,2.75796E+06,
Q8JZZ6,AMERL_MOUSE,Ammecr1l,AMMECR1-like protein,1.94456E+07,2.37697E+07,2.43829E+07,1.99139E+07,,1.44535E+07,2.81982E+07,2.3359E+07,1.7768E+07,2.28293E+07,1.81014E+07,1.11195E+07,
O08967,CYH3_MOUSE,Cyth3,Cytohesin-3,2.69243E+06,1.6308E+06,2.18552E+06,2.50656E+06,2.78777E+06,2.65059E+06,3.22654E+06,2.1842E+06,2.14458E+06,2.2026E+06,2.69713E+06,3.01626E+06,
P21981,TGM2_MOUSE,Tgm2,Protein-glutamine gamma-glutamyltransferase 2,3.52774E+07,2.62838E+07,2.7392E+07,1.94156E+07,4.58746E+07,1.55104E+07,2.29795E+07,2.27485E+07,2.71359E+07,1.92818E+07,1.93182E+07,4.08693E+07,
Q99LH4,ZN672_MOUSE,Znf672,Zinc finger protein 672,7.00183E+06,1.07636E+07,9.33904E+06,7.2268E+06,,1.6419E+07,1.05955E+07,9.18767E+06,1.19147E+07,1.10556E+07,1.3878E+07,9.93011E+06,
Q9R0Y5,KAD1_MOUSE,Ak1,Adenylate kinase isoenzyme 1,5.8243E+06,5.90789E+06,9.36811E+06,7.41554E+06,2.06292E+07,1.75707E+07,8.98684E+06,1.10875E+07,1.20528E+07,5.56457E+06,6.2047E+06,3.50448E+07,
Q9QXT1,DAPP1_MOUSE,Dapp1,Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide,1.09645E+07,1.0975E+07,8.90484E+06,1.45717E+07,1.53876E+07,2.31561E+07,1.25338E+07,1.06598E+07,1.16663E+07,1.74356E+07,1.42024E+07,2.18679E+07,
Q8BKJ9,SIR7_MOUSE,Sirt7,NAD-dependent protein deacetylase sirtuin-7,2.5551E+06,2.50789E+06,2.51858E+06,3.03476E+06,2.62355E+06,2.97446E+06,2.37476E+06,2.88911E+06,2.74022E+06,2.4154E+06,2.90677E+06,3.34409E+06,
Q3USL1,KLDC9_MOUSE,Klhdc9,Kelch domain-containing protein 9,,,9551.23,18248.8,,35297.9,,24962.2,,12982.4,,39321.7,
P08122,CO4A2_MOUSE,Col4a2,Collagen alpha-2(IV) chain,4.16108E+07,3.82752E+07,3.85039E+07,1.55292E+07,,1.00239E+07,3.32191E+07,3.32797E+07,3.06088E+07,1.12352E+07,1.99467E+07,7.65739E+06,
P32233,DRG1_MOUSE,Drg1,Developmentally-regulated GTP-binding protein 1,3.73257E+07,3.09241E+07,3.82223E+07,2.86544E+07,3.40944E+07,2.89032E+07,3.97003E+07,4.1832E+07,3.75969E+07,2.67775E+07,3.1415E+07,3.37559E+07,
